ID,Nombre,Imagen,RutaCompleta
3617,"Grigoris Georgatos",/images/faces/A-114659.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-114659.png"
3622,"Kleopas Giannou",/images/faces/A-675017.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-675017.png"
3682,"Frode Berg",/images/faces/A-3877.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-3877.png"
3703,"Diego Lindbergh Tinoco Freire",/images/faces/A-2105550.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-2105550.png"
3781,"William Stanger",/images/faces/A-8428686.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-8428686.png"
3799,"Niklas Rasck",/images/faces/A-15942.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-15942.png"
3833,"Alexandro Quaresma De Souza",/images/faces/A-19022095.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-19022095.png"
3865,"Emrah Umut",/images/faces/A-465076.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\A-465076.png"
4440,"Roger Milla",\\images\\faces\\L-3501842.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-3501842.png"
4443,"Alen Boksic",\\images\\faces\\L-8075.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-8075.png"
4444,"Jamie Redknapp",\\images\\faces\\L-2005296.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2005296.png"
4454,"Vincenzo Daniele Scifo",\\images\\faces\\L-9873.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-9873.png"
4455,"Enzo Francescoli",\\images\\faces\\L-2018913.png,"C:\Users\usuario\Desktop\anfpes-engine\apps\ui\public\images\faces\L-2018913.png"
